colA,colB
XGBoost,squared-error objective; estimators 80--320; learning rate 0.01--0.2 (log); depth 3--8; child weight 0.5--8 (log); row and column subsampling 0.6--1; L1 penalty $10^{-6}$--1 (log); L2 penalty $10^{-3}$--10 (log); histogram or approximate trees
LightGBM,regression objective; estimators 80--320; learning rate 0.01--0.2 (log); leaves 15--63; depth $\{-1\csvcomma{}4\csvcomma{}6\csvcomma{}8\csvcomma{}10\}$\csvcomma{} where $-1$ means unbounded; minimum child rows 5--40; row and column subsampling 0.6--1 with subsampling frequency 1; L1 penalty $10^{-6}$--1 and L2 penalty $10^{-6}$--10 (both log)
CatBoost,RMSE loss and Bayesian bootstrap; iterations 80--320; learning rate 0.01--0.2 (log); depth 4--8; L2 penalty 0.01--20 (log); bagging temperature 0--5; random strength $10^{-3}$--5 (log)
AdaBoost,depth-three decision-tree base estimator; estimators 50--250; learning rate 0.01--1 (log); loss $\{$linear\csvcomma{} square\csvcomma{} exponential$\}$
Random Forest,estimators 100--400; depth $\{$unbounded\csvcomma{} 6\csvcomma{} 10\csvcomma{} 14\csvcomma{} 18$\}$; minimum split 2--10; minimum leaf 1--4; feature fraction 0.5--1; bootstrap true or false
Extra Trees,estimators 100--400; depth $\{$unbounded\csvcomma{} 6\csvcomma{} 10\csvcomma{} 14\csvcomma{} 18$\}$; minimum split 2--10; minimum leaf 1--4; feature fraction 0.5--1; bootstrap true or false
SVR,penalty 0.1--10 (log); epsilon-insensitive width 0.01--0.5 (log); kernel $\{$radial\csvcomma{} linear$\}$; radial-kernel coefficient $\{$scale\csvcomma{} auto$\}$; tolerance $10^{-3}$--$10^{-2}$ (log); shrinking enabled; 20\csvcomma{}000 maximum iterations; 256 MB kernel cache per component regressor
$k$-NN,neighbors 1--15; uniform or distance weights; automatic\csvcomma{} ball-tree\csvcomma{} kd-tree\csvcomma{} or brute search; leaf size 15--60; Minkowski order $\{1\csvcomma{}2\csvcomma{}3\}$ when Minkowski distance is selected; Minkowski\csvcomma{} Euclidean\csvcomma{} or Manhattan distance
PLS,components 1--6; maximum iterations 200--1000; tolerance $10^{-8}$--$10^{-4}$ (log); internal scaling disabled because external fold-local scaling was used
Multi-task Elastic Net,software regularization parameter \texttt{alpha} $10^{-6}$--10 (log); row-group mixing ratio 0.05--0.95; cyclic coordinate descent with 20\csvcomma{}000 maximum iterations and tolerance $10^{-6}$
Multi-task Lasso,software regularization parameter \texttt{alpha} $10^{-6}$--10 (log); cyclic coordinate descent with 20\csvcomma{}000 maximum iterations and tolerance $10^{-6}$
MLP,fixed hidden widths $(128\csvcomma{}64\csvcomma{}32)$ and Adam solver; activation $\{$ReLU\csvcomma{} tanh\csvcomma{} logistic$\}$; squared-weight penalty $10^{-6}$--$10^{-2}$ (log); batch size $\{64\csvcomma{}128\csvcomma{}256\}$; learning rate $5\times10^{-4}$--$10^{-2}$ (log); training-loss tolerance $10^{-4}$--$10^{-3}$ (log); shuffle enabled; validation-based early stopping disabled; 15-epoch training-loss patience; maximum 250 epochs
TabNet,equal decision and attention widths $\{8\csvcomma{}16\csvcomma{}24\}$; attentive steps 3--4; relaxation coefficient 1.0--2.0; sparsity coefficient $10^{-6}$--$10^{-2}$ (log); Adam learning rate 0.003--0.03 (log); sparsemax or entmax-1.5 masks; exactly 20--50 selected epochs; batch size $\{512\csvcomma{}1024\}$; ghost-batch virtual size 128; patience 0
